Step,NodeID,True_X,True_Y,Dist_A0,Dist_A1,Dist_A2,Dist_A3
0,0,2.0000,3.0000,3.8817,9.1148,5.3187,10.5253
0,1,3.0000,4.0000,4.4669,8.0099,4.1022,9.1692
0,2,4.0000,5.0000,6.3461,7.8855,3.0531,8.2108
0,3,5.0000,6.0000,6.5111,7.9610,2.1857,6.5628
0,4,6.0000,7.0000,9.3404,8.0681,1.6512,5.5098
1,0,2.0000,3.0000,3.2500,9.3658,5.1035,10.1517
1,1,3.0000,4.0000,4.8328,7.8422,4.9743,9.2586
1,2,4.0000,5.0000,7.6500,7.9785,3.9471,7.7219
1,3,5.0000,6.0000,7.9317,8.2599,2.2704,5.7647
1,4,6.0000,7.0000,9.0449,8.0059,1.3301,4.6685
2,0,2.0000,3.0000,3.5741,8.7437,5.4586,10.4290
2,1,3.0000,4.0000,4.0788,8.0097,3.8594,9.2429
2,2,4.0000,5.0000,5.9367,7.6254,3.4217,8.2166
2,3,5.0000,6.0000,8.3865,7.1642,2.4297,6.3970
2,4,6.0000,7.0000,9.4383,8.3964,1.6506,5.0311
3,0,2.0000,3.0000,3.1842,8.9184,5.5559,10.4978
3,1,3.0000,4.0000,5.3050,7.6005,4.2905,8.5831
3,2,4.0000,5.0000,5.9205,7.7270,2.7437,7.8719
3,3,5.0000,6.0000,8.0339,7.6220,1.7284,6.6382
3,4,6.0000,7.0000,9.4180,8.1327,1.0578,5.3941
4,0,2.0000,3.0000,4.0448,8.5398,5.8168,10.6428
4,1,3.0000,4.0000,4.9283,8.0852,4.0984,9.3482
4,2,4.0000,5.0000,6.3433,6.7543,2.9762,7.5949
4,3,5.0000,6.0000,7.5859,8.2519,1.7346,5.9066
4,4,6.0000,7.0000,8.8769,7.6503,0.8855,4.6675
5,0,2.0000,3.0000,3.7156,7.5274,5.2263,10.1448
5,1,3.0000,4.0000,4.9696,7.6971,4.3088,8.3053
5,2,4.0000,5.0000,6.0503,7.5105,3.2676,7.5560
5,3,5.0000,6.0000,7.4789,7.6003,1.7676,6.3078
5,4,6.0000,7.0000,9.1317,7.6083,2.0082,5.2400
6,0,2.0000,3.0000,4.0602,8.2096,5.6745,11.2695
6,1,3.0000,4.0000,5.0941,7.9930,3.9249,9.5198
6,2,4.0000,5.0000,6.9716,6.8192,3.4781,7.4669
6,3,5.0000,6.0000,8.6033,8.3540,1.7238,5.8293
6,4,6.0000,7.0000,9.1068,8.3718,1.2984,4.1128
7,0,2.0000,3.0000,3.0942,8.7727,5.6523,11.0965
7,1,3.0000,4.0000,5.0107,8.7381,4.7359,9.7790
7,2,4.0000,5.0000,6.9344,8.4648,3.4856,7.4914
7,3,5.0000,6.0000,7.8615,7.3776,2.8692,6.1337
7,4,6.0000,7.0000,8.9676,7.5845,1.9229,5.2710
8,0,2.0000,3.0000,3.2247,8.5347,6.1766,10.9723
8,1,3.0000,4.0000,5.2377,7.5259,4.7506,9.3157
8,2,4.0000,5.0000,6.9241,7.7631,3.0064,8.1176
8,3,5.0000,6.0000,7.6939,7.4993,1.9502,6.4619
8,4,6.0000,7.0000,9.1195,8.2658,1.5570,4.3676
9,0,2.0000,3.0000,4.0438,8.0098,6.0974,10.9001
9,1,3.0000,4.0000,5.6590,8.4899,4.6337,9.5036
9,2,4.0000,5.0000,6.2322,8.0282,3.7124,8.1826
9,3,5.0000,6.0000,8.1901,8.2375,1.7193,7.1943
9,4,6.0000,7.0000,8.8217,7.8726,1.7349,4.6888
10,0,2.0000,3.0000,3.4805,8.7402,5.9765,11.6019
10,1,3.0000,4.0000,4.8209,7.9802,4.9767,9.2775
10,2,4.0000,5.0000,6.5277,8.3694,3.2040,7.8090
10,3,5.0000,6.0000,8.3259,7.5297,1.3177,6.6220
10,4,6.0000,7.0000,8.3825,8.3634,1.0138,5.0360
11,0,2.0000,3.0000,3.8833,9.0428,6.2235,10.0324
11,1,3.0000,4.0000,4.2769,8.4344,4.5012,8.9063
11,2,4.0000,5.0000,6.5735,7.6657,3.8157,7.7396
11,3,5.0000,6.0000,7.4303,7.6014,2.3738,7.1435
11,4,6.0000,7.0000,9.0811,7.4165,1.0891,4.9377
12,0,2.0000,3.0000,3.9626,8.7077,5.9264,11.1758
12,1,3.0000,4.0000,4.3460,8.4846,4.1951,8.7492
12,2,4.0000,5.0000,6.2573,8.0431,2.8004,7.4934
12,3,5.0000,6.0000,7.7324,7.9209,1.4805,6.1126
12,4,6.0000,7.0000,8.7590,8.5596,1.5526,5.2639
13,0,2.0000,3.0000,3.7011,9.1265,5.7076,10.7391
13,1,3.0000,4.0000,5.0731,8.1944,3.8468,9.0203
13,2,4.0000,5.0000,6.5663,7.5940,2.9545,7.8787
13,3,5.0000,6.0000,7.7357,6.6950,1.5273,7.0128
13,4,6.0000,7.0000,8.8587,7.9242,1.4767,5.3885
